runtime[ms]                        : 4797.317266
throughput[images/s]               : 31.267475
DRAM_in_bandwidth[MB/s]            : 6.147436
DRAM_out_bandwidth[MB/s]           : 0.540302
DRAM_extw_idma0_bandwidth[MB/s]    : 159.064902
fclk[mhz]                          : 125.000000
batch_size                         : 150.000000
fold_input[ms]                     : 0.319004
pack_input[ms]                     : 0.235558
copy_input_data_to_device[ms]      : 179.548502
copy_output_data_from_device[ms]   : 3.833055
unpack_output[ms]                  : 60.901165
unfold_output[ms]                  : 0.130653
