runtime[ms]                        : 178.849459
throughput[images/s]               : 27.956473
DRAM_in_bandwidth[MB/s]            : 5.496466
DRAM_out_bandwidth[MB/s]           : 0.483088
DRAM_extw_idma0_bandwidth[MB/s]    : 142.221062
fclk[mhz]                          : 125.000000
batch_size                         : 5.000000
fold_input[ms]                     : 0.130892
pack_input[ms]                     : 0.117540
copy_input_data_to_device[ms]      : 6.648540
copy_output_data_from_device[ms]   : 0.360489
unpack_output[ms]                  : 1.715183
unfold_output[ms]                  : 0.054598
