runtime[ms]                        : 2249.198437
throughput[images/s]               : 31.122198
DRAM_in_bandwidth[MB/s]            : 6.118873
DRAM_out_bandwidth[MB/s]           : 0.537792
DRAM_extw_idma0_bandwidth[MB/s]    : 158.325844
fclk[mhz]                          : 125.000000
batch_size                         : 70.000000
fold_input[ms]                     : 0.183582
pack_input[ms]                     : 0.135660
copy_input_data_to_device[ms]      : 83.522558
copy_output_data_from_device[ms]   : 1.507044
unpack_output[ms]                  : 18.170357
unfold_output[ms]                  : 0.098228
