runtime[ms]                        : 1293.652534
throughput[images/s]               : 30.920204
DRAM_in_bandwidth[MB/s]            : 6.079159
DRAM_out_bandwidth[MB/s]           : 0.534301
DRAM_extw_idma0_bandwidth[MB/s]    : 157.298250
fclk[mhz]                          : 125.000000
batch_size                         : 40.000000
fold_input[ms]                     : 0.195026
pack_input[ms]                     : 0.108242
copy_input_data_to_device[ms]      : 47.977448
copy_output_data_from_device[ms]   : 0.891447
unpack_output[ms]                  : 10.102749
unfold_output[ms]                  : 0.089884
