runtime[ms]                        : 51.443100
throughput[images/s]               : 19.438953
DRAM_in_bandwidth[MB/s]            : 3.821854
DRAM_out_bandwidth[MB/s]           : 0.335905
DRAM_extw_idma0_bandwidth[MB/s]    : 98.890463
fclk[mhz]                          : 125.000000
batch_size                         : 1.000000
fold_input[ms]                     : 0.139475
pack_input[ms]                     : 0.097990
copy_input_data_to_device[ms]      : 1.705408
copy_output_data_from_device[ms]   : 0.246525
unpack_output[ms]                  : 1.167059
unfold_output[ms]                  : 0.052691
